Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
transactionData = transactionData,,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.001s,PASSED
"println(""transaction data is : "" + transactionData)",,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.001s,PASSED
"nationalPmtData = getElementPropertyValue(danaInquiryResponse, ""nationalPmtData"")",,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.043s,PASSED
nationalPmtData1 = nationalPmtData,,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.001s,PASSED
"replacedNationalPmtData = nationalPmtData1.replaceAll("""""", ""\\"""")",,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.007s,ERROR
,,,,,,,
Test Cases/PaymentDanaCase(Saving),,,,2023-06-14 12:09:18,2023-06-14 12:09:20,2.391s,FAILED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.004s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.003s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
"println(""Local Date: "" + formattedLocalDate)",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
localDate = formattedLocalDate,,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
currentTime1 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
"formatter1 = DateTimeFormatter.ofPattern(""HHmmss"")",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.002s,PASSED
formattedLocalTime = currentTime1.format(formatter1),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.003s,PASSED
"println(""Local Time: "" + formattedLocalTime)",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.000s,PASSED
localTime = formattedLocalTime,,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.002s,PASSED
formattedTransDateTime = formattedLocalDate + formattedLocalTime,,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
"println(""Trans Date Time: "" + formattedTransDateTime)",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
transDateTime = formattedTransDateTime,,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
currentTime2 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
"formatter2 = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
formattedSettlementDate = plusDays(1).format(formatter2),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.003s,PASSED
"println(""SettlementDate: "" + formattedSettlementDate)",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.002s,PASSED
settlementDate = formattedSettlementDate,,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.002s,PASSED
currentTime3 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.002s,PASSED
"formatter3 = DateTimeFormatter.ofPattern(""yyMMddHHmmss"")",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.004s,PASSED
formattedReferenceNumber = currentTime3.format(formatter3),,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.003s,PASSED
"println(""Reference Number: "" + formattedReferenceNumber)",,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.002s,PASSED
referenceNumber = formattedReferenceNumber,,,,2023-06-14 12:09:19,2023-06-14 12:09:19,0.001s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/GET SIGNATURE SERVICE -  - emoney dana open denom payment""))",,,,2023-06-14 12:09:19,2023-06-14 12:09:20,0.592s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.036s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.002s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.001s,PASSED
"danaPaymentResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/dana payment""))",,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.524s,PASSED
"RC = getElementPropertyValue(danaPaymentResponse, ""responseCode"")",,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.044s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.001s,PASSED
"verifyResponseStatusCode(danaPaymentResponse, 200)",,,,2023-06-14 12:09:20,2023-06-14 12:09:20,0.011s,FAILED
,,,,,,,
Test Cases/AdviceDanaCase,,,,2023-06-14 12:09:20,2023-06-14 12:09:23,2.533s,FAILED
"signatureResponse = sendRequest(findTestObject(""Postman/Advice/GET SIGNATURE SERVICE - dana Advice Payment""))",,,,2023-06-14 12:09:22,2023-06-14 12:09:22,0.632s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 12:09:22,2023-06-14 12:09:22,0.056s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 12:09:22,2023-06-14 12:09:22,0.001s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 12:09:22,2023-06-14 12:09:22,0.000s,PASSED
"danaAdviceResponse = sendRequest(findTestObject(""Postman/Advice/dana Payment Advice""))",,,,2023-06-14 12:09:22,2023-06-14 12:09:23,0.642s,PASSED
"RC = getElementPropertyValue(danaAdviceResponse, ""responseCode"")",,,,2023-06-14 12:09:23,2023-06-14 12:09:23,0.058s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 12:09:23,2023-06-14 12:09:23,0.003s,PASSED
"verifyResponseStatusCode(danaAdviceResponse, 200)",,,,2023-06-14 12:09:23,2023-06-14 12:09:23,0.015s,FAILED
