Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DanaOpenDenomSuites,,,,2023-06-14 12:09:07,2023-06-14 12:09:23,15.616s,ERROR
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-14 12:09:08,2023-06-14 12:09:16,7.477s,FAILED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:09,2023-06-14 12:09:09,0.060s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-14 12:09:09,2023-06-14 12:09:09,0.029s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-14 12:09:09,2023-06-14 12:09:09,0.042s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-14 12:09:09,2023-06-14 12:09:09,0.011s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-14 12:09:09,2023-06-14 12:09:10,0.796s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-14 12:09:10,2023-06-14 12:09:15,4.442s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 12:09:15,2023-06-14 12:09:15,0.165s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-14 12:09:15,2023-06-14 12:09:15,0.024s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-14 12:09:15,2023-06-14 12:09:15,0.001s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-14 12:09:15,2023-06-14 12:09:15,0.527s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-14 12:09:15,2023-06-14 12:09:16,0.085s,FAILED
,,,,,,,
Test Cases/InquiryDanaCase(Saving),,,,2023-06-14 12:09:16,2023-06-14 12:09:18,2.472s,ERROR
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.004s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.005s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.003s,PASSED
"println(""Local Date: "" + formattedLocalDate)",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.006s,PASSED
localDate = formattedLocalDate,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.005s,PASSED
currentTime1 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
"formatter1 = DateTimeFormatter.ofPattern(""HHmmss"")",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
formattedLocalTime = currentTime1.format(formatter1),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
"println(""Local Time: "" + formattedLocalTime)",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
localTime = formattedLocalTime,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
formattedTransDateTime = formattedLocalDate + formattedLocalTime,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
"println(""Trans Date Time: "" + formattedTransDateTime)",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
transDateTime = formattedTransDateTime,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
currentTime2 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
"formatter2 = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
formattedSettlementDate = plusDays(1).format(formatter2),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.005s,PASSED
"println(""SettlementDate: "" + formattedSettlementDate)",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
settlementDate = formattedSettlementDate,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
currentTime3 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
"formatter3 = DateTimeFormatter.ofPattern(""yyMMddHHmmss"")",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
formattedReferenceNumber = currentTime3.format(formatter3),,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.004s,PASSED
"println(""Reference Number: "" + formattedReferenceNumber)",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.002s,PASSED
referenceNumber = formattedReferenceNumber,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/GET SIGNATURE SERVICE -  emoney dana open denom inquiry""))",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.569s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.051s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.003s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 12:09:17,2023-06-14 12:09:17,0.001s,PASSED
"danaInquiryResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/dana inquiry""))",,,,2023-06-14 12:09:17,2023-06-14 12:09:18,0.456s,PASSED
"RC = getElementPropertyValue(danaInquiryResponse, ""responseCode"")",,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.048s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.001s,PASSED
"transactionData = getElementPropertyValue(danaInquiryResponse, ""transactionData"")",,,,2023-06-14 12:09:18,2023-06-14 12:09:18,0.037s,PASSED
