Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"danaPaymentResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/dana payment""))",,,,2023-06-14 12:07:30,2023-06-14 12:07:31,0.996s,PASSED
"RC = getElementPropertyValue(danaPaymentResponse, ""responseCode"")",,,,2023-06-14 12:07:31,2023-06-14 12:07:31,0.060s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 12:07:31,2023-06-14 12:07:31,0.002s,PASSED
"verifyResponseStatusCode(danaPaymentResponse, 200)",,,,2023-06-14 12:07:31,2023-06-14 12:07:31,0.020s,FAILED
,,,,,,,
Test Cases/AdviceDanaCase,,,,2023-06-14 12:07:31,2023-06-14 12:07:34,3.268s,FAILED
"signatureResponse = sendRequest(findTestObject(""Postman/Advice/GET SIGNATURE SERVICE - dana Advice Payment""))",,,,2023-06-14 12:07:33,2023-06-14 12:07:34,1.017s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.065s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.003s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.001s,PASSED
"danaAdviceResponse = sendRequest(findTestObject(""Postman/Advice/dana Payment Advice""))",,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.637s,PASSED
"RC = getElementPropertyValue(danaAdviceResponse, ""responseCode"")",,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.050s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.002s,PASSED
"verifyResponseStatusCode(danaAdviceResponse, 200)",,,,2023-06-14 12:07:34,2023-06-14 12:07:34,0.009s,FAILED
