Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GopayOpenDenomSuites,,,,2023-06-14 13:49:57,2023-06-14 13:50:14,16.950s,ERROR
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-14 13:49:58,2023-06-14 13:50:06,8.113s,FAILED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:49:59,2023-06-14 13:49:59,0.067s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-14 13:49:59,2023-06-14 13:49:59,0.032s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-14 13:49:59,2023-06-14 13:49:59,0.015s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-14 13:49:59,2023-06-14 13:49:59,0.016s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-14 13:49:59,2023-06-14 13:50:00,0.911s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-14 13:50:00,2023-06-14 13:50:05,4.703s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:50:05,2023-06-14 13:50:05,0.209s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-14 13:50:05,2023-06-14 13:50:05,0.024s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-14 13:50:05,2023-06-14 13:50:05,0.001s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-14 13:50:05,2023-06-14 13:50:06,0.696s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-14 13:50:06,2023-06-14 13:50:06,0.112s,FAILED
,,,,,,,
Test Cases/InquiryGopayCase(Saving),,,,2023-06-14 13:50:06,2023-06-14 13:50:09,2.746s,ERROR
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.006s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.003s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
"println(""Local Date: "" + formattedLocalDate)",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.003s,PASSED
localDate = formattedLocalDate,,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.003s,PASSED
currentTime1 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
"formatter1 = DateTimeFormatter.ofPattern(""HHmmss"")",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
formattedLocalTime = currentTime1.format(formatter1),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.004s,PASSED
"println(""Local Time: "" + formattedLocalTime)",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
localTime = formattedLocalTime,,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.003s,PASSED
formattedTransDateTime = formattedLocalDate + formattedLocalTime,,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
"println(""Trans Date Time: "" + formattedTransDateTime)",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
transDateTime = formattedTransDateTime,,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.003s,PASSED
currentTime2 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
"formatter2 = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
formattedSettlementDate = plusDays(1).format(formatter2),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.005s,PASSED
"println(""SettlementDate: "" + formattedSettlementDate)",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
settlementDate = formattedSettlementDate,,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
currentTime3 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
"formatter3 = DateTimeFormatter.ofPattern(""yyMMddHHmmss"")",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.001s,PASSED
formattedReferenceNumber = currentTime3.format(formatter3),,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.005s,PASSED
"println(""Reference Number: "" + formattedReferenceNumber)",,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
referenceNumber = formattedReferenceNumber,,,,2023-06-14 13:50:07,2023-06-14 13:50:07,0.002s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/GET SIGNATURE SERVICE -  emoney gopay open denom inquiry""))",,,,2023-06-14 13:50:07,2023-06-14 13:50:08,0.683s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.047s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.002s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.001s,PASSED
"danaInquiryResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/gopay inquiry""))",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.501s,PASSED
"RC = getElementPropertyValue(danaInquiryResponse, ""responseCode"")",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.064s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.002s,PASSED
"transactionData = getElementPropertyValue(danaInquiryResponse, ""transactionData"")",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.041s,PASSED
transactionData = transactionData,,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.001s,PASSED
"println(""transaction data is : "" + transactionData)",,,,2023-06-14 13:50:08,2023-06-14 13:50:08,0.002s,PASSED
