Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"nationalPmtData = getElementPropertyValue(danaInquiryResponse, ""nationalPmtData"")",,,,2023-06-14 13:50:08,2023-06-14 13:50:09,0.039s,PASSED
nationalPmtData1 = nationalPmtData,,,,2023-06-14 13:50:09,2023-06-14 13:50:09,0.001s,PASSED
"replacedNationalPmtData = nationalPmtData1.replaceAll("""""", ""\\"""")",,,,2023-06-14 13:50:09,2023-06-14 13:50:09,0.006s,ERROR
,,,,,,,
Test Cases/PaymentGopayCase(Saving),,,,2023-06-14 13:50:09,2023-06-14 13:50:11,2.624s,FAILED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.003s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
formattedLocalDate = currentTime.format(formatter),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"println(""Local Date: "" + formattedLocalDate)",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
localDate = formattedLocalDate,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
currentTime1 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"formatter1 = DateTimeFormatter.ofPattern(""HHmmss"")",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
formattedLocalTime = currentTime1.format(formatter1),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.003s,PASSED
"println(""Local Time: "" + formattedLocalTime)",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
localTime = formattedLocalTime,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
formattedTransDateTime = formattedLocalDate + formattedLocalTime,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"println(""Trans Date Time: "" + formattedTransDateTime)",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
transDateTime = formattedTransDateTime,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
currentTime2 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"formatter2 = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
formattedSettlementDate = plusDays(1).format(formatter2),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"println(""SettlementDate: "" + formattedSettlementDate)",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
settlementDate = formattedSettlementDate,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
currentTime3 = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.003s,PASSED
"formatter3 = DateTimeFormatter.ofPattern(""yyMMddHHmmss"")",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.003s,PASSED
formattedReferenceNumber = currentTime3.format(formatter3),,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"println(""Reference Number: "" + formattedReferenceNumber)",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
referenceNumber = formattedReferenceNumber,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.001s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/GET SIGNATURE SERVICE -  - emoney dana open denom payment""))",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.615s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.041s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 13:50:10,2023-06-14 13:50:10,0.002s,PASSED
"danaPaymentResponse = sendRequest(findTestObject(""Postman/emoney/opendenom Success/Saving/dana payment""))",,,,2023-06-14 13:50:10,2023-06-14 13:50:11,0.698s,PASSED
"RC = getElementPropertyValue(danaPaymentResponse, ""responseCode"")",,,,2023-06-14 13:50:11,2023-06-14 13:50:11,0.049s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 13:50:11,2023-06-14 13:50:11,0.001s,PASSED
"verifyResponseStatusCode(danaPaymentResponse, 200)",,,,2023-06-14 13:50:11,2023-06-14 13:50:11,0.014s,FAILED
,,,,,,,
Test Cases/AdviceGopayCase(Saving),,,,2023-06-14 13:50:11,2023-06-14 13:50:14,2.664s,FAILED
"signatureResponse = sendRequest(findTestObject(""Postman/Advice/GET SIGNATURE SERVICE - dana Advice Payment""))",,,,2023-06-14 13:50:12,2023-06-14 13:50:13,0.863s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:50:13,2023-06-14 13:50:13,0.048s,PASSED
"println(""signature service is :"" + signature)",,,,2023-06-14 13:50:13,2023-06-14 13:50:13,0.001s,PASSED
SERVICE_SIGNATURE = signature,,,,2023-06-14 13:50:13,2023-06-14 13:50:13,0.001s,PASSED
"danaAdviceResponse = sendRequest(findTestObject(""Postman/Advice/dana Payment Advice""))",,,,2023-06-14 13:50:13,2023-06-14 13:50:14,0.584s,PASSED
"RC = getElementPropertyValue(danaAdviceResponse, ""responseCode"")",,,,2023-06-14 13:50:14,2023-06-14 13:50:14,0.053s,PASSED
"println(""RC is : "" + RC)",,,,2023-06-14 13:50:14,2023-06-14 13:50:14,0.001s,PASSED
"verifyResponseStatusCode(danaAdviceResponse, 200)",,,,2023-06-14 13:50:14,2023-06-14 13:50:14,0.010s,FAILED
